Roll Number,schoolName,Principal Name,Ethos Description,Female,Male,Total,latitude,longitude,Type
60030V,Blackrock College,MR. ALAN T MAC GINTY,CATHOLIC,0,"1,024","1,024",53.3047146,-6.192405228920508,Secondary School
60040B,Willow Park School,MR. ALAN JAMES THOMAS ROGAN,CATHOLIC,0,207,207,53.3047146,-6.192405228920508,Secondary School
60041D,Coláiste Eoin,MR. P.S DE POIRE,CATHOLIC,0,496,496,1.0,1.0,Secondary School
60042F,Coláiste Íosagáin,MR. SEAN DELAP,CATHOLIC,485,0,485,1.0,1.0,Secondary School
60050E,Oatlands College,MS. CAROLINE GARRETT,CATHOLIC,0,545,545,53.295936749999996,-6.207279304582228,Secondary School
60070K,Dominican College,MISS SHEILA DRUM,CATHOLIC,437,0,437,1.0,1.0,Secondary School
60081P,Rockford Manor Secondary School,MR. JOHN (TONY) COLLISON,CATHOLIC,277,0,277,53.2939431,-6.1676188,Secondary School
60090Q,Rathdown School,MR. BRIAN MOORE,CHURCH OF IRELAND,263,0,263,53.2824009,-6.14415354826062,Secondary School
60092U,Clonkeen College,MR. EDWARD MELLY,CATHOLIC,0,575,575,53.3047146,-6.192405228920508,Secondary School
60100Q,Castleknock College,MR. CHRISTOPHER WILLIAM KINDER,CATHOLIC,0,701,701,53.3690301,-6.368287152530902,Secondary School
60120W,Mount Sackville Secondary School,MRS. EILEEN HIGGINS,CATHOLIC,656,0,656,53.3478416,-6.34582,Secondary School
60121B,Moyle Park College,MS. NIAMH CAHALANE,CATHOLIC,0,738,738,53.3329231,-6.389082639305667,Secondary School
60122D,Coláiste Bríde,MISS MARIE THERESE KILMARTIN,CATHOLIC,959,0,959,53.3158799,-6.3911271,Secondary School
60130C,Loreto Abbey Secondary School,MR. ROBERT DUNNE,CATHOLIC,653,0,653,53.28171105,-6.108854059870553,Secondary School
60140F,Mount Anville Secondary School,MISS MARY CAFFREY,CATHOLIC,698,0,698,53.2943079,-6.2217902,Secondary School
60180R,Christian Brothers College,MR. GERARD DUFFY,CATHOLIC,0,515,515,53.28592515,-6.159485376803847,Secondary School
60240J,Loreto College Foxrock,MRS. BERNADETTE PRENDIVILLE,CATHOLIC,519,0,519,53.2722241,-6.1763238,Secondary School
60250M,Holy Child Secondary School,MS. CAROLINE MARY O'BRIEN,CATHOLIC,352,0,352,53.2530764,-6.1170699,Secondary School
60260P,St Joseph Of Cluny Secondary School,MR. BENEDICT GERARD HEALY,CATHOLIC,252,0,252,53.2712564,-6.1209223,Secondary School
60261R,St Benildus College,MRS. MARY P BROHAN,CATHOLIC,0,807,807,53.2885692,-6.2075428,Secondary School
60262T,St Laurence College,MR. WILLIAM REDMOND,CATHOLIC,141,117,258,53.246441649999994,-6.131966620029932,Secondary School
60263V,St Josephs College,MS. BERNADETTE FITZGERALD,CATHOLIC,884,0,884,53.3567157,-6.4501534,Secondary School
60264A,Coláiste Phádraig CBS,MR. ANTHONY J BRADY,CATHOLIC,0,538,538,53.3581049,-6.432358,Secondary School
60272W,The Kings Hospital,MR. MARK RONAN,CHURCH OF IRELAND,333,377,710,53.349273499999995,-6.369037513732624,Secondary School
60290B,St Pauls College,MR. ML.A. BEHAN,CATHOLIC,0,591,591,53.373810399999996,-6.1908161124241925,Secondary School
60291D,Árdscoil La Salle,MR. COLM MYTHEN,CATHOLIC,72,94,166,53.39047275,-6.168295123912228,Secondary School
60300B,Manor House School,MISS MARY T O'NEILL,CATHOLIC,688,0,688,53.37811415,-6.172089245730236,Secondary School
60310E,De La Salle College,MISS SIOBHAN FOSTER,CATHOLIC,0,320,320,53.29750665,-6.263957684875993,Secondary School
60320H,St Columba's College,MARK TREMAYNE BOOBBYER,CHURCH OF IRELAND,149,184,333,53.24862935,-6.293160365581683,Secondary School
60321J,Rockbrook Park School,MR. MARK HAMILTON,CATHOLIC,0,163,163,53.2807532,-6.2973821,Secondary School
60340N,Loreto High School,MS. AOIFE KAVANAGH,CATHOLIC,660,0,660,53.296164,-6.2839975,Secondary School
60341P,Sancta Maria College,MISS GERALDINE KENNEDY,CATHOLIC,549,0,549,53.293189,-6.2994589,Secondary School
60342R,Coláiste Éanna,MR. SEAN G. O'MURCHU,CATHOLIC,0,601,601,53.2862613,-6.2958617173122144,Secondary School
60343T,St Joseph's Secondary School,MRS. PATRICIA HAYDEN,CATHOLIC,348,445,793,53.5208343,-6.0912588,Secondary School
60361V,St Raphaela's Secondary School,Eileen O' Donnell,CATHOLIC,569,0,569,53.2797694,-6.2107432,Secondary School
60370W,St. Fintan's High School,MISS MARY FOX,CATHOLIC,0,704,704,53.37673355,-6.09346972155873,Secondary School
60380C,Santa Sabina Dominican College,MS. JOYCE KAVANAGH,CATHOLIC,669,0,669,53.3880767,-6.1069161,Secondary School
60381E,Sutton Park School,MR. RONAN WALSH,CHURCH OF IRELAND,172,199,371,53.37673355,-6.09346972155873,Secondary School
60383I,Coláiste Choilm,MR. CATHAL FRANCIS BOYLE,CATHOLIC,0,550,550,53.4288026,-6.247592522077657,Secondary School
60390F,St Josephs C.B.S.,Mr Gerard Cullen,CATHOLIC,0,258,258,53.364078,-6.2341172,Secondary School
60400F,St Vincents C.B.S. Glasnevin,MR. JOHN G HORAN,CATHOLIC,0,362,362,53.372448,-6.2832443,Secondary School
60410I,C.B.S. James Street,MR. PAUL N MAC ENTEE,CATHOLIC,50,102,152,53.3416767,-6.2922997872372886,Secondary School
60420L,Árdscoil Rís,MR. MARK NEVILLE,CATHOLIC,0,541,541,53.3729883,-6.2335114130770215,Secondary School
60430O,St Pauls C.B.S.,MR. PATRICK MCCORMACK,CATHOLIC,0,213,213,1.0,1.0,Secondary School
60440R,O'Connell School,MR. LIAM NEWELL,CATHOLIC,0,206,206,53.3589017,-6.249600296701264,Secondary School
60450U,Coláiste Mhuire,MR. OISIN MAC EOIN,CATHOLIC,147,137,284,1.0,1.0,Secondary School
60470D,"Christian Brothers, Synge St.",MS. CLARE CATTERSON,CATHOLIC,0,263,263,1.0,1.0,Secondary School
60471F,St. David's C.B.S.,MR. PADRAIC KAVANAGH,CATHOLIC,0,508,508,53.3786954,-6.19011355845169,Secondary School
60480G,Meanscoil Iognáid Rís,MR. JOHN J DEVILLY,CATHOLIC,0,579,579,53.32483445,-6.332903870239308,Secondary School
60481I,St. Aidan's C.B.S.,MR. THOMAS SHANNON,CATHOLIC,0,721,721,53.3874247,-6.2573695,Secondary School
60490J,C.B.S. Westland Row,MS. KATE BYRNE,CATHOLIC,56,79,135,53.3433347,-6.2484634,Secondary School
60491L,St Declan's College,MR. BRIAN AVERY,CATHOLIC,0,651,651,53.3664888,-6.3053146,Secondary School
60500J,Marian College,MISS OONAGH CELINE MC CAUL,CATHOLIC,0,345,345,53.3291947,-6.2313316,Secondary School
60510M,St Johns College De La Salle,MS. ANN MARIE LEONARD,CATHOLIC,0,282,282,53.3433613,-6.3562235,Secondary School
60511O,Beneavin De La Salle College,MS. AIDEEN CASSIDY,CATHOLIC,0,509,509,53.3878455,-6.309491490660492,Secondary School
60520P,Belvedere College S.J,MR. GERRY FOLEY,CATHOLIC,0,"1,000","1,000",53.3555274,-6.262112698237533,Secondary School
60530S,Gonzaga College,MR. DAMON MCCAUL,CATHOLIC,0,555,555,53.3216469,-6.2467921,Secondary School
60540V,Catholic University School,MR. THOMAS BYRNE,CATHOLIC,0,510,510,53.3353063,-6.2558690391681635,Secondary School
60550B,Chanel College,MR. DARA GILL,CATHOLIC,0,569,569,53.40104945,-6.179799010488246,Secondary School
60560E,St Marys College,MR. DENIS MURPHY,CATHOLIC,0,429,429,1.0,1.0,Secondary School
60561G,St Michaels College,MR. T M KELLEHER,CATHOLIC,0,664,664,53.3191286,-6.217161240140564,Secondary School
60562I,Templeogue College,MS. NIAMH QUINN,CATHOLIC,0,678,678,53.3041045,-6.3136672,Secondary School
60570H,Terenure College,FR. EANNA RISTEARD O HOBAIN,CATHOLIC,0,688,688,53.30510285,-6.2965078206259015,Secondary School
60581M,St Kevins College,MS. SARAH BARRY,CATHOLIC,0,534,534,53.389662599999994,-6.295277609083765,Secondary School
60590N,St Conleths College,MR. DONAL E O DULAING,CATHOLIC,73,211,284,53.327784750000006,-6.230198020847928,Secondary School
60630W,St Kilian's Deutsche Schule,MISS ALICE LYNCH,INTER DENOMINATIONAL,181,222,403,53.3056385,-6.2367061,Secondary School
60640C,Sandford Park School Ltd,MISS EDITH ANN MARIE BYRNE,INTER DENOMINATIONAL,158,245,403,53.3216469,-6.2467921,Secondary School
60650F,St Andrews College,MS. JOAN KIRBY,PRESBYTERIAN,508,483,991,53.30058235,-6.204810754043407,Secondary School
60660I,St Patricks Cathedral Grammar School,MR. TIMOTHY GILL,CHURCH OF IRELAND,107,111,218,53.339504649999995,-6.271484416353246,Secondary School
60670L,The High School,MR. ANDREW FORREST,CHURCH OF IRELAND,336,394,730,53.3060404,-6.2736102567425895,Secondary School
60690R,Dominican College,MISS OLIVE LAFFOY,CATHOLIC,744,0,744,53.375255,-6.2482966,Secondary School
60700R,Scoil Chaitriona,MS. CARMEL GRAY,CATHOLIC,253,217,470,1.0,1.0,Secondary School
60710U,Muckross Park College,MISS ANNE MARIE MEE,CATHOLIC,707,0,707,53.3281581,-6.2464611,Secondary School
60720A,Saint Dominic's Secondary School,MS. SARAH GREEN,CATHOLIC,295,0,295,53.3423203,-6.3488839,Secondary School
60731F,St Dominics College,MISS ANN.B. CAMERON,CATHOLIC,800,0,800,53.3660816,-6.2902236,Secondary School
60732H,Caritas College,MISS SANDRA ANTOINETTE DOYLE,CATHOLIC,188,0,188,53.3423191,-6.3547273,Secondary School
60741I,St Michaels Secondary School,MR. JOHN B BARRY,CATHOLIC,623,0,623,53.3873845,-6.2977339,Secondary School
60750J,Holy Faith Secondary School,MISS DEIRDRE GOGARTY,CATHOLIC,645,0,645,53.3629491,-6.2272787,Secondary School
60770P,St Mary's Secondary School,MISS BERNADETTE BOURKE,CATHOLIC,811,0,811,1.0,1.0,Secondary School
60791A,St Marys Secondary School,MS. EVELYN MC LOUGHLIN,CATHOLIC,319,0,319,53.3768096,-6.1956608,Secondary School
60792C,Presentation College,MS. GWENDOLEN BRENNAN,CATHOLIC,169,0,169,1.0,1.0,Secondary School
60800V,Loreto College,MS. MARY ELLEN MURPHY,CATHOLIC,400,0,400,53.326179350000004,-6.31890391520716,Secondary School
60810B,Loreto College,MR. PETER MCNAMARA,CATHOLIC,629,0,629,53.45173545,-6.236896881962025,Secondary School
60820E,Loreto College,MS. JACQUELINE DEMPSEY,CATHOLIC,562,0,562,53.33917155,-6.2629391028003685,Secondary School
60840K,Maryfield College,MS. MAREE O ROURKE,CATHOLIC,592,0,592,53.36334425,-6.259665718431606,Secondary School
60841M,Rosary College,MS. JEAN DOYLE,CATHOLIC,80,105,185,53.320735299999996,-6.308541238445172,Secondary School
60843Q,St Josephs Secondary School,MR. JOHN OBRIEN,CATHOLIC,191,0,191,53.352103549999995,-6.282425984551365,Secondary School
60851P,Assumption Secondary School,MS. SIOBHAIN HOEY,CATHOLIC,251,0,251,53.3210603,-6.327512969555554,Secondary School
60853T,Mount Carmel Secondary School,MR. GERARD CULLEN,CATHOLIC,400,0,400,53.3508506,-6.2703592,Secondary School
60860Q,Our Ladys School,MS. MARGUERITE GORBY,CATHOLIC,764,0,764,53.30510285,-6.2965078206259015,Secondary School
60870T,Our Lady Of Mercy College,MS. ROSEMARY LYNCH,CATHOLIC,385,0,385,53.39125065,-6.224267075971085,Secondary School
60871V,Mercy College Coolock,MS. PATRICIA DWYER,CATHOLIC,427,0,427,53.3842835,-6.2028766,Secondary School
60872A,Mercy Secondary School,MS. MICHELLE O' KELLY,CATHOLIC,156,0,156,53.3381018,-6.3202075,Secondary School
60890C,St Louis High School,MS. CLIONA MCDONOUGH,CATHOLIC,679,0,679,53.3218603,-6.2703839,Secondary School
60891E,Our Lady's Grove Secondary School,MR. COLM DOOLEY,CATHOLIC,304,0,304,53.300729399999994,-6.235639528041313,Secondary School
60892G,The Teresian School,MISS DEIRDRE MARIE HICKEY,CATHOLIC,198,0,198,53.3152214,-6.228625141208397,Secondary School
60902G,St Pauls Secondary School,Majella Deasy,CATHOLIC,449,0,449,53.311808299999996,-6.3344820192997435,Secondary School
60910F,Alexandra College,MRS. BARBARA ENNIS,CHURCH OF IRELAND,589,0,589,53.3131646,-6.2469919,Secondary School
60930L,Rosemont School,MS. JANET DEAN,CATHOLIC,182,0,182,53.2641116,-6.2289498,Secondary School
60991I,Our Lady Of Mercy Secondary School,MR. PADHRAIC GIBBONS,CATHOLIC,122,185,307,53.32483445,-6.332903870239308,Secondary School
61010U,Wesley College,MR. CHRISTOPHER WOODS,METHODIST,469,459,928,53.278385400000005,-6.260530726748372,Secondary School
61020A,Stratford College,MS. P. GORDON,JEWISH,67,81,148,53.3097709,-6.2736549,Secondary School
68071G,John Scottus Secondary School,DR. DECLAN KELLY,INTER DENOMINATIONAL,56,63,119,53.216763,-6.1341929,Secondary School
68082L,Coláiste Ghlór na Mara,MS. MAEDHBH ABAYAWICKREMA,MULTI DENOMINATIONAL,152,168,320,1.0,1.0,Secondary School
68083N,Le Cheile Secondary School,MS. AINE MORAN,CATHOLIC,361,389,750,53.4218238,-6.4090635,Secondary School
68101M,Hansfield ETSS,MS. BERNADETTE JUDGE,MULTI DENOMINATIONAL,287,359,646,53.3914395,-6.44598,Secondary School
68161H,Gaelcholáiste an Phiarsaigh,MR. JOE MAC SUIBHNE,MULTI DENOMINATIONAL,139,123,262,1.0,1.0,Secondary School
68181N,New Cross College,MR. DEREK LYNCH,CATHOLIC,80,119,199,53.3878455,-6.309491490660492,Secondary School
68241F,Stepaside Educate Together Secondary School,MISS BARBARA MULHALL,MULTI DENOMINATIONAL,82,132,214,53.2611324,-6.2196913,Secondary School
68262N,Bremore Educate Together Secondary School,MS. KATHLEEN JONES,MULTI DENOMINATIONAL,128,240,368,53.517578900000004,-6.266450292852577,Secondary School
68305F,Sandymount Park Educate Together Secondary School,MS. PAULA MULHALL,MULTI DENOMINATIONAL,38,40,78,1.0,1.0,Secondary School
68306H,Edmund Rice College,MR. BRENDAN HARRINGTON,CATHOLIC,74,61,135,53.3880953,-6.3723242,Secondary School
68307J,Firhouse Educate Together Secondary School,MS. CLAIRE MATTHEWS,MULTI DENOMINATIONAL,43,38,81,53.2808061,-6.3401853,Secondary School
68308L,Malahide & Portmarnock Secondary School,MS. AOIFE KELLY GIBSON,MULTI DENOMINATIONAL,25,42,67,1.0,1.0,Secondary School
68346T,Donaghmede Howth Educate Together Secondary School,MS. ASHLING KENEVEY,MULTI DENOMINATIONAL,18,12,30,53.39907465,-6.160436154344819,Secondary School
70010V,Balbriggan Community College,Emmett Sheridan,INTER DENOMINATIONAL,166,350,516,31.2254564,-85.4551898,Secondary School
70020B,Grange Community College,Séan Smyth,INTER DENOMINATIONAL,112,168,280,53.3913111,-6.1559459,Secondary School
70021D,Coláiste de hÍde,Joy Uí Mhurchadha,MULTI DENOMINATIONAL,164,135,299,1.0,1.0,Secondary School
70040H,Deansrath Community College,Helen Taylor,INTER DENOMINATIONAL,134,164,298,53.3215533,-6.4201654,Secondary School
70041J,Collinstown Park Community College,Ms Pauline Duffy,INTER DENOMINATIONAL,266,303,569,53.33821855,-6.4008912199786145,Secondary School
70042L,St. Kevin's Community College,Tony Barry,INTER DENOMINATIONAL,160,213,373,53.3333505,-6.4063997,Secondary School
70080T,Lucan Community College,Diane Birnie,MULTI DENOMINATIONAL,403,519,922,53.3492513,-6.4315433,Secondary School
70081V,Colaiste Ghleann na hAbhann,Bernadette MacLoughlin,INTER DENOMINATIONAL,104,148,252,1.0,1.0,Secondary School
70100W,Coláiste Chilliain,Feargal Ó Giolláin,MULTI DENOMINATIONAL,182,233,415,1.0,1.0,Secondary School
70120F,St Finians Community College,Ms. Patricia Knightly,MULTI DENOMINATIONAL,339,308,647,53.4656569,-6.2241961803147925,Secondary School
70121H,Fingal Community College,Mrs Sharon McGrath,INTER DENOMINATIONAL,402,452,854,53.4514384,-6.1895958,Secondary School
70130I,Greenhills College,Ann Bray,MULTI DENOMINATIONAL,1,137,137,53.30738365,-6.335710691804344,Secondary School
70140L,Firhouse Community College,Senan Nolan,INTER DENOMINATIONAL,359,450,809,53.2747564,-6.3448845490090005,Secondary School
70141N,Mount Seskin Community College,Austin Flannery (Oct Rets 2017),INTER DENOMINATIONAL,157,168,325,53.280874600000004,-6.4099155952739295,Secondary School
70150O,Cabra Community College,Mr Neil Flatherty,MULTI DENOMINATIONAL,46,85,131,53.3686465,-6.2956745,Secondary School
70160R,Clogher Road Community College,Lesley Byrne,MULTI DENOMINATIONAL,56,148,204,53.3272815,-6.292032,Secondary School
70180A,Coláiste Eoin,Paula O'Brien,MULTI DENOMINATIONAL,73,107,180,53.3878455,-6.309491490660492,Secondary School
70200D,Ringsend College,Ms Pauline Queally,MULTI DENOMINATIONAL,111,78,189,53.3427446,-6.2271542,Secondary School
70240P,Kylemore College,Ms Deirdre Nolan,MULTI DENOMINATIONAL,130,264,394,53.342163,-6.3521394,Secondary School
70250S,Marino College,Mary McAleer,MULTI DENOMINATIONAL,143,102,245,53.364414,-6.231164,Secondary School
70260V,St Mac Dara's Community College,Mr Paul Kingston,INTER DENOMINATIONAL,376,477,853,1.0,1.0,Secondary School
70280E,Rathmines College,Ms Bernadette Moore,MULTI DENOMINATIONAL,59,44,103,53.324041449999996,-6.264791523179525,Secondary School
70300H,Pearse College - Colaiste an Phiarsaigh,Patricia O'Keeffe,INTER DENOMINATIONAL,43,63,106,53.3272815,-6.292032,Secondary School
70310K,Plunket College,Adrian Delaney,MULTI DENOMINATIONAL,43,40,83,53.3864566,-6.2425167,Secondary School
70321P,Margaret Aylward Community College,Sinéad Dunne,MULTI DENOMINATIONAL,146,0,146,53.3835108,-6.2400002,Secondary School
70330Q,Coláiste Dhúlaigh,Mr Neil Dunphy,MULTI DENOMINATIONAL,74,81,155,53.40104945,-6.179799010488246,Secondary School
76062B,Castleknock Community College,John Cronin,INTER DENOMINATIONAL,581,582,"1,163",53.3776926,-6.3906473,Secondary School
76065H,Coláiste Cois Life,Tomás Ó Donnagáin,MULTI DENOMINATIONAL,446,361,807,1.0,1.0,Secondary School
76077O,Larkin Community College,Thomas Usher,INTER DENOMINATIONAL,195,197,392,53.352202750000004,-6.256648665720981,Secondary School
76078Q,Skerries Community College,Kevin Mc Laughlin,INTER DENOMINATIONAL,424,551,975,53.57706455,-6.114056397849755,Secondary School
76085N,Gaelcholáiste Reachrann,Máire Ní Ghealbháin,INTER DENOMINATIONAL,236,207,443,1.0,1.0,Secondary School
76092K,PRESENTATION COMMUNITY COLLEGE,Mr Darrell Darcy,CATHOLIC,265,86,351,53.304285899999996,-6.2898897424993265,Secondary School
76097U,ADAMSTOWN COMMUNITY COLLEGE,Mr Dave Anderson,MULTI DENOMINATIONAL,406,505,911,53.3498261,-6.473278853425414,Secondary School
76098W,Coláiste Pobail Setanta,Liam Walsh,MULTI DENOMINATIONAL,527,526,"1,053",53.39742015,-6.435575868433347,Secondary School
76104O,Donabate Community College,Anthony Creevey,MULTI DENOMINATIONAL,343,419,762,53.4935348,-6.1219237,Secondary School
76129H,Ardgillan Community College,Nuala Ni Mhurchu,MULTI DENOMINATIONAL,337,616,953,53.6003042,-6.181209859650529,Secondary School
76130P,Luttrellstown Community College,Fionnuala Ní Chaisil,MULTI DENOMINATIONAL,413,480,893,53.374445699999995,-6.409348236957877,Secondary School
76152C,Kishoge Community College,Niall Hare,MULTI DENOMINATIONAL,411,428,839,53.336093,-6.424771405724201,Secondary School
76213T,Lusk Community College,Pat Cole,MULTI DENOMINATIONAL,321,364,685,53.5296626,-6.1609386,Secondary School
76293U,Kingswood Community College,Deborah Dunne,MULTI DENOMINATIONAL,240,282,522,53.3010508,-6.3730279,Secondary School
76394D,Clonturk College,Ms. Wesleigh O'Hagan,MULTI DENOMINATIONAL,153,190,343,53.3864566,-6.2425167,Secondary School
76454S,Griffeen Community College,Rachel McGrath,MULTI DENOMINATIONAL,48,90,138,53.336093,-6.424771405724201,Secondary School
76475D,Swords Community College,Mark McDonald,MULTI DENOMINATIONAL,68,98,166,53.4707851,-6.2289385,Secondary School
81001I,Newpark Comprehensive School,MR. EOIN NORTON,CHURCH OF IRELAND,405,456,861,53.2884452,-6.1752756,Secondary School
81002K,Mount Temple Comprehensive School,MR. LIAM C WEGIMONT,CHURCH OF IRELAND,443,446,889,53.44493685,-6.164611319697125,Secondary School
81017A,TRINITY COMPREHENSIVE SCHOOL,MS. FRANCES L NEARY,CATHOLIC,200,292,492,53.39451455,-6.262678894140985,Secondary School
91301D,Holy Family Community School,MISS BRENDA KELLY,INTER DENOMINATIONAL,441,522,963,53.2788661,-6.4777783,Secondary School
91302F,Phobailscoil Iosolde,MS. LORRAINE O'TOOLE,INTER DENOMINATIONAL,317,449,766,53.349273499999995,-6.369037513732624,Secondary School
91305L,Ballinteer Community School,MR. DAVID O'CONNELL,INTER DENOMINATIONAL,164,243,407,53.2835762,-6.264681,Secondary School
91310E,Cabinteely Community School,CLARE GARRIHY,INTER DENOMINATIONAL,195,261,456,53.2660887,-6.1484998,Secondary School
91315O,Scoil Phobail Chuil Mhin,MISS PATRICIA MC PHILLIPS,INTER DENOMINATIONAL,463,561,"1,024",1.0,1.0,Secondary School
91316Q,Blakestown Community School,MR. FRANCIS MILLING,INTER DENOMINATIONAL,241,189,430,53.38048085,-6.389641169901096,Secondary School
91318U,The Donahies Community School,MR. PETER KEOHANE,INTER DENOMINATIONAL,224,243,467,53.3862576,-6.079632432847534,Secondary School
91324P,Portmarnock Community School,MS. EITHNE DEENEY,INTER DENOMINATIONAL,408,520,928,53.4228137,-6.1347725,Secondary School
91325R,Malahide Community School,MR. DAVID HAYES,INTER DENOMINATIONAL,614,605,"1,219",53.43894865,-6.155835621440439,Secondary School
91330K,Holy Child Community School,MS. VALERIE MAHER,INTER DENOMINATIONAL,124,122,246,53.2764989,-6.1393731,Secondary School
91332O,St Marks Community School,MISS EITHNE COYNE,INTER DENOMINATIONAL,420,414,834,53.29768125,-6.381852570531828,Secondary School
91335U,Tallaght Community School,MR. AIDAN LYNCH,INTER DENOMINATIONAL,348,417,765,53.2910863,-6.3395859160074615,Secondary School
91336W,Old Bawn Community School,MS. URSULA MCCABE,INTER DENOMINATIONAL,449,469,918,53.28087725,-6.368266899909909,Secondary School
91337B,Killinarden Community School,MISS ADRIENNE WHELAN,INTER DENOMINATIONAL,244,242,486,53.27443675,-6.392022302490281,Secondary School
91338D,St Aidan's Community School,MRS. KAREN QUIGLEY,INTER DENOMINATIONAL,207,231,438,53.2897008,-6.402272,Secondary School
91339F,Hartstown Community School,MS. LUCIA GRIFFIN,INTER DENOMINATIONAL,535,595,"1,130",53.3928586,-6.4194428,Secondary School
91342R,Pobalscoil Neasáin,MR. PATRICK MCKENNA,INTER DENOMINATIONAL,306,468,774,53.3958303,-6.1285497,Secondary School
91343T,St. Tiernan's Community School,MR. DECLAN HUGHES,INTER DENOMINATIONAL,160,185,345,53.28113615,-6.234916153582422,Secondary School
91344V,Rosmini Community School,MR. DARRELL DARCY,INTER DENOMINATIONAL,37,83,120,1.0,1.0,Secondary School
91510M,St. Colmcille's Community School,MR. JOHN MC KENNEDY,INTER DENOMINATIONAL,347,383,730,53.2811722,-6.3179616,Secondary School
