"Statistic","Year","Garda Station","Type of Offence","UNIT","VALUE"
"Recorded Crime Offences Under Reservation","2018","61302 Kilmainham, D.M.R. South Central Division","Public order and other social code offences","Number","219"
"Recorded Crime Offences Under Reservation","2018","61302 Kilmainham, D.M.R. South Central Division","Offences against government, justice procedures and organisation of crime","Number","30"
"Recorded Crime Offences Under Reservation","2018","66301 Lucan, D.M.R. Western Division","Attempts/threats to murder, assaults, harassments and related offences","Number","90"
"Recorded Crime Offences Under Reservation","2018","66301 Lucan, D.M.R. Western Division","Dangerous or negligent acts","Number","42"
"Recorded Crime Offences Under Reservation","2018","66301 Lucan, D.M.R. Western Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2018","66301 Lucan, D.M.R. Western Division","Robbery, extortion and hijacking offences","Number","23"
"Recorded Crime Offences Under Reservation","2018","66301 Lucan, D.M.R. Western Division","Burglary and related offences","Number","158"
"Recorded Crime Offences Under Reservation","2018","66301 Lucan, D.M.R. Western Division","Theft and related offences","Number","435"
"Recorded Crime Offences Under Reservation","2018","66301 Lucan, D.M.R. Western Division","Fraud, deception and related offences","Number","47"
"Recorded Crime Offences Under Reservation","2018","66301 Lucan, D.M.R. Western Division","Controlled drug offences","Number","80"
"Recorded Crime Offences Under Reservation","2018","66301 Lucan, D.M.R. Western Division","Weapons and Explosives Offences","Number","17"
"Recorded Crime Offences Under Reservation","2018","66301 Lucan, D.M.R. Western Division","Damage to property and to the environment","Number","119"
"Recorded Crime Offences Under Reservation","2018","66301 Lucan, D.M.R. Western Division","Public order and other social code offences","Number","123"
"Recorded Crime Offences Under Reservation","2018","66301 Lucan, D.M.R. Western Division","Offences against government, justice procedures and organisation of crime","Number","12"
"Recorded Crime Offences Under Reservation","2018","63103 Lusk, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","59"
"Recorded Crime Offences Under Reservation","2018","63103 Lusk, D.M.R. Northern Division","Dangerous or negligent acts","Number","23"
"Recorded Crime Offences Under Reservation","2018","63103 Lusk, D.M.R. Northern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2018","63103 Lusk, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","7"
"Recorded Crime Offences Under Reservation","2018","63103 Lusk, D.M.R. Northern Division","Burglary and related offences","Number","48"
"Recorded Crime Offences Under Reservation","2018","63103 Lusk, D.M.R. Northern Division","Theft and related offences","Number","525"
"Recorded Crime Offences Under Reservation","2018","63103 Lusk, D.M.R. Northern Division","Fraud, deception and related offences","Number","11"
"Recorded Crime Offences Under Reservation","2018","63103 Lusk, D.M.R. Northern Division","Controlled drug offences","Number","22"
"Recorded Crime Offences Under Reservation","2018","63103 Lusk, D.M.R. Northern Division","Weapons and Explosives Offences","Number","7"
"Recorded Crime Offences Under Reservation","2018","63103 Lusk, D.M.R. Northern Division","Damage to property and to the environment","Number","93"
"Recorded Crime Offences Under Reservation","2018","63103 Lusk, D.M.R. Northern Division","Public order and other social code offences","Number","40"
"Recorded Crime Offences Under Reservation","2018","63103 Lusk, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","11"
"Recorded Crime Offences Under Reservation","2018","63302 Malahide, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","64"
"Recorded Crime Offences Under Reservation","2018","63302 Malahide, D.M.R. Northern Division","Dangerous or negligent acts","Number","12"
"Recorded Crime Offences Under Reservation","2018","63302 Malahide, D.M.R. Northern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2018","63302 Malahide, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","33"
"Recorded Crime Offences Under Reservation","2018","63302 Malahide, D.M.R. Northern Division","Burglary and related offences","Number","134"
"Recorded Crime Offences Under Reservation","2018","63302 Malahide, D.M.R. Northern Division","Theft and related offences","Number","291"
"Recorded Crime Offences Under Reservation","2018","63302 Malahide, D.M.R. Northern Division","Fraud, deception and related offences","Number","22"
"Recorded Crime Offences Under Reservation","2018","63302 Malahide, D.M.R. Northern Division","Controlled drug offences","Number","70"
"Recorded Crime Offences Under Reservation","2018","63302 Malahide, D.M.R. Northern Division","Weapons and Explosives Offences","Number","2"
"Recorded Crime Offences Under Reservation","2018","63302 Malahide, D.M.R. Northern Division","Damage to property and to the environment","Number","108"
"Recorded Crime Offences Under Reservation","2018","63302 Malahide, D.M.R. Northern Division","Public order and other social code offences","Number","65"
"Recorded Crime Offences Under Reservation","2018","63302 Malahide, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","16"
"Recorded Crime Offences Under Reservation","2018","62203 Mountjoy, D.M.R. North Central Division","Attempts/threats to murder, assaults, harassments and related offences","Number","304"
"Recorded Crime Offences Under Reservation","2018","62203 Mountjoy, D.M.R. North Central Division","Dangerous or negligent acts","Number","48"
"Recorded Crime Offences Under Reservation","2018","62203 Mountjoy, D.M.R. North Central Division","Kidnapping and related offences","Number","3"
"Recorded Crime Offences Under Reservation","2018","62203 Mountjoy, D.M.R. North Central Division","Robbery, extortion and hijacking offences","Number","64"
"Recorded Crime Offences Under Reservation","2018","62203 Mountjoy, D.M.R. North Central Division","Burglary and related offences","Number","219"
"Recorded Crime Offences Under Reservation","2018","62203 Mountjoy, D.M.R. North Central Division","Theft and related offences","Number","876"
"Recorded Crime Offences Under Reservation","2018","62203 Mountjoy, D.M.R. North Central Division","Fraud, deception and related offences","Number","100"
"Recorded Crime Offences Under Reservation","2018","62203 Mountjoy, D.M.R. North Central Division","Controlled drug offences","Number","199"
"Recorded Crime Offences Under Reservation","2018","62203 Mountjoy, D.M.R. North Central Division","Weapons and Explosives Offences","Number","49"
"Recorded Crime Offences Under Reservation","2018","62203 Mountjoy, D.M.R. North Central Division","Damage to property and to the environment","Number","276"
"Recorded Crime Offences Under Reservation","2018","62203 Mountjoy, D.M.R. North Central Division","Public order and other social code offences","Number","295"
"Recorded Crime Offences Under Reservation","2018","62203 Mountjoy, D.M.R. North Central Division","Offences against government, justice procedures and organisation of crime","Number","156"
"Recorded Crime Offences Under Reservation","2018","61202 Pearse Street, D.M.R. South Central Division","Attempts/threats to murder, assaults, harassments and related offences","Number","669"
"Recorded Crime Offences Under Reservation","2018","61202 Pearse Street, D.M.R. South Central Division","Dangerous or negligent acts","Number","78"
"Recorded Crime Offences Under Reservation","2018","61202 Pearse Street, D.M.R. South Central Division","Kidnapping and related offences","Number","3"
"Recorded Crime Offences Under Reservation","2018","61202 Pearse Street, D.M.R. South Central Division","Robbery, extortion and hijacking offences","Number","177"
"Recorded Crime Offences Under Reservation","2018","61202 Pearse Street, D.M.R. South Central Division","Burglary and related offences","Number","427"
"Recorded Crime Offences Under Reservation","2018","61202 Pearse Street, D.M.R. South Central Division","Theft and related offences","Number","5139"
"Recorded Crime Offences Under Reservation","2018","61202 Pearse Street, D.M.R. South Central Division","Fraud, deception and related offences","Number","353"
"Recorded Crime Offences Under Reservation","2018","61202 Pearse Street, D.M.R. South Central Division","Controlled drug offences","Number","711"
"Recorded Crime Offences Under Reservation","2018","61202 Pearse Street, D.M.R. South Central Division","Weapons and Explosives Offences","Number","146"
"Recorded Crime Offences Under Reservation","2018","61202 Pearse Street, D.M.R. South Central Division","Damage to property and to the environment","Number","429"
"Recorded Crime Offences Under Reservation","2018","61202 Pearse Street, D.M.R. South Central Division","Public order and other social code offences","Number","2634"
"Recorded Crime Offences Under Reservation","2018","61202 Pearse Street, D.M.R. South Central Division","Offences against government, justice procedures and organisation of crime","Number","99"
"Recorded Crime Offences Under Reservation","2018","63403 Raheny, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","64"
"Recorded Crime Offences Under Reservation","2018","63403 Raheny, D.M.R. Northern Division","Dangerous or negligent acts","Number","26"
"Recorded Crime Offences Under Reservation","2018","63403 Raheny, D.M.R. Northern Division","Kidnapping and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2018","63403 Raheny, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","33"
"Recorded Crime Offences Under Reservation","2018","63403 Raheny, D.M.R. Northern Division","Burglary and related offences","Number","86"
"Recorded Crime Offences Under Reservation","2018","63403 Raheny, D.M.R. Northern Division","Theft and related offences","Number","281"
"Recorded Crime Offences Under Reservation","2018","63403 Raheny, D.M.R. Northern Division","Fraud, deception and related offences","Number","25"
"Recorded Crime Offences Under Reservation","2018","63403 Raheny, D.M.R. Northern Division","Controlled drug offences","Number","82"
"Recorded Crime Offences Under Reservation","2018","63403 Raheny, D.M.R. Northern Division","Weapons and Explosives Offences","Number","7"
"Recorded Crime Offences Under Reservation","2018","63403 Raheny, D.M.R. Northern Division","Damage to property and to the environment","Number","113"
"Recorded Crime Offences Under Reservation","2018","63403 Raheny, D.M.R. Northern Division","Public order and other social code offences","Number","57"
"Recorded Crime Offences Under Reservation","2018","63403 Raheny, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","10"
"Recorded Crime Offences Under Reservation","2018","66203 Rathcoole, D.M.R. Western Division","Attempts/threats to murder, assaults, harassments and related offences","Number","39"
"Recorded Crime Offences Under Reservation","2018","66203 Rathcoole, D.M.R. Western Division","Dangerous or negligent acts","Number","22"
"Recorded Crime Offences Under Reservation","2018","66203 Rathcoole, D.M.R. Western Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2018","66203 Rathcoole, D.M.R. Western Division","Robbery, extortion and hijacking offences","Number","8"
"Recorded Crime Offences Under Reservation","2018","66203 Rathcoole, D.M.R. Western Division","Burglary and related offences","Number","152"
"Recorded Crime Offences Under Reservation","2018","66203 Rathcoole, D.M.R. Western Division","Theft and related offences","Number","271"
"Recorded Crime Offences Under Reservation","2018","66203 Rathcoole, D.M.R. Western Division","Fraud, deception and related offences","Number","16"
"Recorded Crime Offences Under Reservation","2018","66203 Rathcoole, D.M.R. Western Division","Controlled drug offences","Number","20"
"Recorded Crime Offences Under Reservation","2018","66203 Rathcoole, D.M.R. Western Division","Weapons and Explosives Offences","Number","1"
"Recorded Crime Offences Under Reservation","2018","66203 Rathcoole, D.M.R. Western Division","Damage to property and to the environment","Number","69"
"Recorded Crime Offences Under Reservation","2018","66203 Rathcoole, D.M.R. Western Division","Public order and other social code offences","Number","30"
"Recorded Crime Offences Under Reservation","2018","66203 Rathcoole, D.M.R. Western Division","Offences against government, justice procedures and organisation of crime","Number","3"
"Recorded Crime Offences Under Reservation","2018","64201 Rathfarnham, D.M.R. Southern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","111"
"Recorded Crime Offences Under Reservation","2018","64201 Rathfarnham, D.M.R. Southern Division","Dangerous or negligent acts","Number","36"
"Recorded Crime Offences Under Reservation","2018","64201 Rathfarnham, D.M.R. Southern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2018","64201 Rathfarnham, D.M.R. Southern Division","Robbery, extortion and hijacking offences","Number","21"
"Recorded Crime Offences Under Reservation","2018","64201 Rathfarnham, D.M.R. Southern Division","Burglary and related offences","Number","297"
"Recorded Crime Offences Under Reservation","2018","64201 Rathfarnham, D.M.R. Southern Division","Theft and related offences","Number","681"
"Recorded Crime Offences Under Reservation","2018","64201 Rathfarnham, D.M.R. Southern Division","Fraud, deception and related offences","Number","54"
"Recorded Crime Offences Under Reservation","2018","64201 Rathfarnham, D.M.R. Southern Division","Controlled drug offences","Number","277"
"Recorded Crime Offences Under Reservation","2018","64201 Rathfarnham, D.M.R. Southern Division","Weapons and Explosives Offences","Number","11"
"Recorded Crime Offences Under Reservation","2018","64201 Rathfarnham, D.M.R. Southern Division","Damage to property and to the environment","Number","181"
"Recorded Crime Offences Under Reservation","2018","64201 Rathfarnham, D.M.R. Southern Division","Public order and other social code offences","Number","154"
"Recorded Crime Offences Under Reservation","2018","64201 Rathfarnham, D.M.R. Southern Division","Offences against government, justice procedures and organisation of crime","Number","48"
"Recorded Crime Offences Under Reservation","2018","64301 Rathmines, D.M.R. Southern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","86"
"Recorded Crime Offences Under Reservation","2018","64301 Rathmines, D.M.R. Southern Division","Dangerous or negligent acts","Number","32"
"Recorded Crime Offences Under Reservation","2018","64301 Rathmines, D.M.R. Southern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2018","64301 Rathmines, D.M.R. Southern Division","Robbery, extortion and hijacking offences","Number","18"
"Recorded Crime Offences Under Reservation","2018","64301 Rathmines, D.M.R. Southern Division","Burglary and related offences","Number","142"
"Recorded Crime Offences Under Reservation","2018","64301 Rathmines, D.M.R. Southern Division","Theft and related offences","Number","524"
"Recorded Crime Offences Under Reservation","2018","64301 Rathmines, D.M.R. Southern Division","Fraud, deception and related offences","Number","66"
"Recorded Crime Offences Under Reservation","2018","64301 Rathmines, D.M.R. Southern Division","Controlled drug offences","Number","130"
"Recorded Crime Offences Under Reservation","2018","64301 Rathmines, D.M.R. Southern Division","Weapons and Explosives Offences","Number","6"
"Recorded Crime Offences Under Reservation","2018","64301 Rathmines, D.M.R. Southern Division","Damage to property and to the environment","Number","139"
"Recorded Crime Offences Under Reservation","2018","64301 Rathmines, D.M.R. Southern Division","Public order and other social code offences","Number","148"
"Recorded Crime Offences Under Reservation","2018","64301 Rathmines, D.M.R. Southern Division","Offences against government, justice procedures and organisation of crime","Number","15"
"Recorded Crime Offences Under Reservation","2018","66302 Ronanstown, D.M.R. Western Division","Attempts/threats to murder, assaults, harassments and related offences","Number","214"
"Recorded Crime Offences Under Reservation","2018","66302 Ronanstown, D.M.R. Western Division","Dangerous or negligent acts","Number","43"
"Recorded Crime Offences Under Reservation","2018","66302 Ronanstown, D.M.R. Western Division","Kidnapping and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2018","66302 Ronanstown, D.M.R. Western Division","Robbery, extortion and hijacking offences","Number","53"
"Recorded Crime Offences Under Reservation","2018","66302 Ronanstown, D.M.R. Western Division","Burglary and related offences","Number","150"
"Recorded Crime Offences Under Reservation","2018","66302 Ronanstown, D.M.R. Western Division","Theft and related offences","Number","912"
"Recorded Crime Offences Under Reservation","2018","66302 Ronanstown, D.M.R. Western Division","Fraud, deception and related offences","Number","61"
"Recorded Crime Offences Under Reservation","2018","66302 Ronanstown, D.M.R. Western Division","Controlled drug offences","Number","448"
"Recorded Crime Offences Under Reservation","2018","66302 Ronanstown, D.M.R. Western Division","Weapons and Explosives Offences","Number","48"
"Recorded Crime Offences Under Reservation","2018","66302 Ronanstown, D.M.R. Western Division","Damage to property and to the environment","Number","184"
"Recorded Crime Offences Under Reservation","2018","66302 Ronanstown, D.M.R. Western Division","Public order and other social code offences","Number","156"
"Recorded Crime Offences Under Reservation","2018","66302 Ronanstown, D.M.R. Western Division","Offences against government, justice procedures and organisation of crime","Number","214"
"Recorded Crime Offences Under Reservation","2018","63203 Santry, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","164"
"Recorded Crime Offences Under Reservation","2018","63203 Santry, D.M.R. Northern Division","Dangerous or negligent acts","Number","54"
"Recorded Crime Offences Under Reservation","2018","63203 Santry, D.M.R. Northern Division","Kidnapping and related offences","Number","2"
"Recorded Crime Offences Under Reservation","2018","63203 Santry, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","80"
"Recorded Crime Offences Under Reservation","2018","63203 Santry, D.M.R. Northern Division","Burglary and related offences","Number","329"
"Recorded Crime Offences Under Reservation","2018","63203 Santry, D.M.R. Northern Division","Theft and related offences","Number","1229"
"Recorded Crime Offences Under Reservation","2018","63203 Santry, D.M.R. Northern Division","Fraud, deception and related offences","Number","75"
"Recorded Crime Offences Under Reservation","2018","63203 Santry, D.M.R. Northern Division","Controlled drug offences","Number","57"
"Recorded Crime Offences Under Reservation","2018","63203 Santry, D.M.R. Northern Division","Weapons and Explosives Offences","Number","19"
"Recorded Crime Offences Under Reservation","2018","63203 Santry, D.M.R. Northern Division","Damage to property and to the environment","Number","212"
"Recorded Crime Offences Under Reservation","2018","63203 Santry, D.M.R. Northern Division","Public order and other social code offences","Number","96"
"Recorded Crime Offences Under Reservation","2018","63203 Santry, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","29"
"Recorded Crime Offences Under Reservation","2018","65205 Shankill, D.M.R. Eastern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","99"
"Recorded Crime Offences Under Reservation","2018","65205 Shankill, D.M.R. Eastern Division","Dangerous or negligent acts","Number","28"
"Recorded Crime Offences Under Reservation","2018","65205 Shankill, D.M.R. Eastern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2018","65205 Shankill, D.M.R. Eastern Division","Robbery, extortion and hijacking offences","Number","10"
"Recorded Crime Offences Under Reservation","2018","65205 Shankill, D.M.R. Eastern Division","Burglary and related offences","Number","105"
"Recorded Crime Offences Under Reservation","2018","65205 Shankill, D.M.R. Eastern Division","Theft and related offences","Number","249"
"Recorded Crime Offences Under Reservation","2018","65205 Shankill, D.M.R. Eastern Division","Fraud, deception and related offences","Number","18"
"Recorded Crime Offences Under Reservation","2018","65205 Shankill, D.M.R. Eastern Division","Controlled drug offences","Number","72"
"Recorded Crime Offences Under Reservation","2018","65205 Shankill, D.M.R. Eastern Division","Weapons and Explosives Offences","Number","13"
"Recorded Crime Offences Under Reservation","2018","65205 Shankill, D.M.R. Eastern Division","Damage to property and to the environment","Number","125"
"Recorded Crime Offences Under Reservation","2018","65205 Shankill, D.M.R. Eastern Division","Public order and other social code offences","Number","96"
"Recorded Crime Offences Under Reservation","2018","65205 Shankill, D.M.R. Eastern Division","Offences against government, justice procedures and organisation of crime","Number","17"
"Recorded Crime Offences Under Reservation","2018","63105 Skerries, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","29"
"Recorded Crime Offences Under Reservation","2018","63105 Skerries, D.M.R. Northern Division","Dangerous or negligent acts","Number","6"
"Recorded Crime Offences Under Reservation","2018","63105 Skerries, D.M.R. Northern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2018","63105 Skerries, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","4"
"Recorded Crime Offences Under Reservation","2018","63105 Skerries, D.M.R. Northern Division","Burglary and related offences","Number","66"
"Recorded Crime Offences Under Reservation","2018","63105 Skerries, D.M.R. Northern Division","Theft and related offences","Number","56"
"Recorded Crime Offences Under Reservation","2018","63105 Skerries, D.M.R. Northern Division","Fraud, deception and related offences","Number","4"
"Recorded Crime Offences Under Reservation","2018","63105 Skerries, D.M.R. Northern Division","Controlled drug offences","Number","2"
"Recorded Crime Offences Under Reservation","2018","63105 Skerries, D.M.R. Northern Division","Weapons and Explosives Offences","Number","3"
"Recorded Crime Offences Under Reservation","2018","63105 Skerries, D.M.R. Northern Division","Damage to property and to the environment","Number","24"
"Recorded Crime Offences Under Reservation","2018","63105 Skerries, D.M.R. Northern Division","Public order and other social code offences","Number","13"
"Recorded Crime Offences Under Reservation","2018","63105 Skerries, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","8"
"Recorded Crime Offences Under Reservation","2018","62301 Store Street, D.M.R. North Central Division","Attempts/threats to murder, assaults, harassments and related offences","Number","540"
"Recorded Crime Offences Under Reservation","2018","62301 Store Street, D.M.R. North Central Division","Dangerous or negligent acts","Number","88"
"Recorded Crime Offences Under Reservation","2018","62301 Store Street, D.M.R. North Central Division","Kidnapping and related offences","Number","4"
"Recorded Crime Offences Under Reservation","2018","62301 Store Street, D.M.R. North Central Division","Robbery, extortion and hijacking offences","Number","127"
"Recorded Crime Offences Under Reservation","2018","62301 Store Street, D.M.R. North Central Division","Burglary and related offences","Number","247"
"Recorded Crime Offences Under Reservation","2018","62301 Store Street, D.M.R. North Central Division","Theft and related offences","Number","5093"
"Recorded Crime Offences Under Reservation","2018","62301 Store Street, D.M.R. North Central Division","Fraud, deception and related offences","Number","363"
"Recorded Crime Offences Under Reservation","2018","62301 Store Street, D.M.R. North Central Division","Controlled drug offences","Number","655"
"Recorded Crime Offences Under Reservation","2018","62301 Store Street, D.M.R. North Central Division","Weapons and Explosives Offences","Number","128"
"Recorded Crime Offences Under Reservation","2018","62301 Store Street, D.M.R. North Central Division","Damage to property and to the environment","Number","391"
"Recorded Crime Offences Under Reservation","2018","62301 Store Street, D.M.R. North Central Division","Public order and other social code offences","Number","1778"
"Recorded Crime Offences Under Reservation","2018","62301 Store Street, D.M.R. North Central Division","Offences against government, justice procedures and organisation of crime","Number","31"
"Recorded Crime Offences Under Reservation","2018","64102 Sundrive Road, D.M.R. Southern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","94"
"Recorded Crime Offences Under Reservation","2018","64102 Sundrive Road, D.M.R. Southern Division","Dangerous or negligent acts","Number","27"
"Recorded Crime Offences Under Reservation","2018","64102 Sundrive Road, D.M.R. Southern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2018","64102 Sundrive Road, D.M.R. Southern Division","Robbery, extortion and hijacking offences","Number","38"
"Recorded Crime Offences Under Reservation","2018","64102 Sundrive Road, D.M.R. Southern Division","Burglary and related offences","Number","144"
"Recorded Crime Offences Under Reservation","2018","64102 Sundrive Road, D.M.R. Southern Division","Theft and related offences","Number","341"
"Recorded Crime Offences Under Reservation","2018","64102 Sundrive Road, D.M.R. Southern Division","Fraud, deception and related offences","Number","33"
"Recorded Crime Offences Under Reservation","2018","64102 Sundrive Road, D.M.R. Southern Division","Controlled drug offences","Number","150"
"Recorded Crime Offences Under Reservation","2018","64102 Sundrive Road, D.M.R. Southern Division","Weapons and Explosives Offences","Number","17"
"Recorded Crime Offences Under Reservation","2018","64102 Sundrive Road, D.M.R. Southern Division","Damage to property and to the environment","Number","191"
"Recorded Crime Offences Under Reservation","2018","64102 Sundrive Road, D.M.R. Southern Division","Public order and other social code offences","Number","111"
"Recorded Crime Offences Under Reservation","2018","64102 Sundrive Road, D.M.R. Southern Division","Offences against government, justice procedures and organisation of crime","Number","30"
"Recorded Crime Offences Under Reservation","2018","63303 Swords, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","214"
"Recorded Crime Offences Under Reservation","2018","63303 Swords, D.M.R. Northern Division","Dangerous or negligent acts","Number","67"
"Recorded Crime Offences Under Reservation","2018","63303 Swords, D.M.R. Northern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2018","63303 Swords, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","40"
"Recorded Crime Offences Under Reservation","2018","63303 Swords, D.M.R. Northern Division","Burglary and related offences","Number","210"
"Recorded Crime Offences Under Reservation","2018","63303 Swords, D.M.R. Northern Division","Theft and related offences","Number","853"
"Recorded Crime Offences Under Reservation","2018","63303 Swords, D.M.R. Northern Division","Fraud, deception and related offences","Number","71"
"Recorded Crime Offences Under Reservation","2018","63303 Swords, D.M.R. Northern Division","Controlled drug offences","Number","109"
"Recorded Crime Offences Under Reservation","2018","63303 Swords, D.M.R. Northern Division","Weapons and Explosives Offences","Number","20"
"Recorded Crime Offences Under Reservation","2018","63303 Swords, D.M.R. Northern Division","Damage to property and to the environment","Number","176"
"Recorded Crime Offences Under Reservation","2018","63303 Swords, D.M.R. Northern Division","Public order and other social code offences","Number","234"
"Recorded Crime Offences Under Reservation","2018","63303 Swords, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","198"
"Recorded Crime Offences Under Reservation","2018","64202 Tallaght, D.M.R. Southern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","425"
"Recorded Crime Offences Under Reservation","2018","64202 Tallaght, D.M.R. Southern Division","Dangerous or negligent acts","Number","156"
"Recorded Crime Offences Under Reservation","2018","64202 Tallaght, D.M.R. Southern Division","Kidnapping and related offences","Number","3"
"Recorded Crime Offences Under Reservation","2018","64202 Tallaght, D.M.R. Southern Division","Robbery, extortion and hijacking offences","Number","134"
"Recorded Crime Offences Under Reservation","2018","64202 Tallaght, D.M.R. Southern Division","Burglary and related offences","Number","405"
"Recorded Crime Offences Under Reservation","2018","64202 Tallaght, D.M.R. Southern Division","Theft and related offences","Number","1664"
"Recorded Crime Offences Under Reservation","2018","64202 Tallaght, D.M.R. Southern Division","Fraud, deception and related offences","Number","151"
"Recorded Crime Offences Under Reservation","2018","64202 Tallaght, D.M.R. Southern Division","Controlled drug offences","Number","473"
"Recorded Crime Offences Under Reservation","2018","64202 Tallaght, D.M.R. Southern Division","Weapons and Explosives Offences","Number","68"
"Recorded Crime Offences Under Reservation","2018","64202 Tallaght, D.M.R. Southern Division","Damage to property and to the environment","Number","825"
"Recorded Crime Offences Under Reservation","2018","64202 Tallaght, D.M.R. Southern Division","Public order and other social code offences","Number","500"
"Recorded Crime Offences Under Reservation","2018","64202 Tallaght, D.M.R. Southern Division","Offences against government, justice procedures and organisation of crime","Number","487"
"Recorded Crime Offences Under Reservation","2018","64302 Terenure, D.M.R. Southern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","61"
"Recorded Crime Offences Under Reservation","2018","64302 Terenure, D.M.R. Southern Division","Dangerous or negligent acts","Number","42"
"Recorded Crime Offences Under Reservation","2018","64302 Terenure, D.M.R. Southern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2018","64302 Terenure, D.M.R. Southern Division","Robbery, extortion and hijacking offences","Number","17"
"Recorded Crime Offences Under Reservation","2018","64302 Terenure, D.M.R. Southern Division","Burglary and related offences","Number","207"
"Recorded Crime Offences Under Reservation","2018","64302 Terenure, D.M.R. Southern Division","Theft and related offences","Number","418"
"Recorded Crime Offences Under Reservation","2018","64302 Terenure, D.M.R. Southern Division","Fraud, deception and related offences","Number","26"
"Recorded Crime Offences Under Reservation","2018","64302 Terenure, D.M.R. Southern Division","Controlled drug offences","Number","77"
"Recorded Crime Offences Under Reservation","2018","64302 Terenure, D.M.R. Southern Division","Weapons and Explosives Offences","Number","6"
"Recorded Crime Offences Under Reservation","2018","64302 Terenure, D.M.R. Southern Division","Damage to property and to the environment","Number","106"
"Recorded Crime Offences Under Reservation","2018","64302 Terenure, D.M.R. Southern Division","Public order and other social code offences","Number","100"
"Recorded Crime Offences Under Reservation","2018","64302 Terenure, D.M.R. Southern Division","Offences against government, justice procedures and organisation of crime","Number","8"
"Recorded Crime Offences Under Reservation","2019","63101 Balbriggan, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","196"
"Recorded Crime Offences Under Reservation","2019","63101 Balbriggan, D.M.R. Northern Division","Dangerous or negligent acts","Number","38"
"Recorded Crime Offences Under Reservation","2019","63101 Balbriggan, D.M.R. Northern Division","Kidnapping and related offences","Number","3"
"Recorded Crime Offences Under Reservation","2019","63101 Balbriggan, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","12"
"Recorded Crime Offences Under Reservation","2019","63101 Balbriggan, D.M.R. Northern Division","Burglary and related offences","Number","84"
"Recorded Crime Offences Under Reservation","2019","63101 Balbriggan, D.M.R. Northern Division","Theft and related offences","Number","411"
"Recorded Crime Offences Under Reservation","2019","63101 Balbriggan, D.M.R. Northern Division","Fraud, deception and related offences","Number","107"
"Recorded Crime Offences Under Reservation","2019","63101 Balbriggan, D.M.R. Northern Division","Controlled drug offences","Number","134"
"Recorded Crime Offences Under Reservation","2019","63101 Balbriggan, D.M.R. Northern Division","Weapons and Explosives Offences","Number","24"
"Recorded Crime Offences Under Reservation","2019","63101 Balbriggan, D.M.R. Northern Division","Damage to property and to the environment","Number","206"
"Recorded Crime Offences Under Reservation","2019","63101 Balbriggan, D.M.R. Northern Division","Public order and other social code offences","Number","151"
"Recorded Crime Offences Under Reservation","2019","63101 Balbriggan, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","115"
